time,measure,is_first_in_measure,beat,mn_playthrough
0.88,1,False,3,1a
1.38,2,True,1,2a
1.78,2,False,2,2a
2.14,2,False,3,2a
2.746451612903226,3,True,1,3a
2.92,3,False,2,3a
3.3,3,False,3,3a
3.68,4,True,1,4a
4.02,4,False,2,4a
4.4,4,False,3,4a
5.104761904761904,5,True,1,5a
5.16,5,False,2,5a
5.5,5,False,3,5a
5.839130434782609,6,True,1,6a
6.2,6,False,2,6a
6.58,6,False,3,6a
6.72,7,True,1,7a
7.28,7,False,2,7a
7.66,7,False,3,7a
7.98,8,True,1,8a
8.46,8,False,2,8a
8.7,8,False,3,8a
9.2,9,True,1,9a
9.53511111111111,9,False,2,9a
9.731333333333332,9,False,3,9a
9.927555555555555,1,True,1,1b
10.123777777777779,1,False,2,1b
10.32,1,False,3,1b
10.82,2,True,1,2b
11.22,2,False,2,2b
11.58,2,False,3,2b
12.225901639344263,3,True,1,3b
12.38,3,False,2,3b
12.76,3,False,3,3b
13.12,4,True,1,4b
13.44,4,False,2,4b
13.8,4,False,3,4b
14.544262295081966,5,True,1,5b
14.6,5,False,2,5b
14.9,5,False,3,5b
15.2,6,True,1,6b
15.6,6,False,2,6b
15.92,6,False,3,6b
16.196444444444445,7,True,1,7b
16.62,7,False,2,7b
16.96,7,False,3,7b
17.28,8,True,1,8b
17.74,8,False,2,8b
18.04,8,False,3,8b
18.48,9,True,1,9b
19.48,9,False,2,9b
19.567844827586207,9,False,3,9b
19.655689655172417,10,True,1,10a
19.743534482758623,10,False,2,10a
19.83137931034483,10,False,3,10a
20.1,11,True,1,11a
20.44,11,False,2,11a
20.76,11,False,3,11a
21.16,12,True,1,12a
21.5,12,False,2,12a
22.05022222222222,12,False,3,12a
22.3,13,True,1,13a
22.5,13,False,2,13a
22.92,13,False,3,13a
23.24,14,True,1,14a
23.64,14,False,2,14a
23.98,14,False,3,14a
24.3,15,True,1,15a
24.48,15,False,2,15a
24.94,15,False,3,15a
25.3,16,True,1,16a
25.66,16,False,2,16a
26.02,16,False,3,16a
26.34,17,True,1,17a
26.78,17,False,2,17a
27.08,17,False,3,17a
27.5,18,True,1,18a
27.692,18,False,2,18a
27.884,18,False,3,18a
28.076,10,True,1,10b
28.268,10,False,2,10b
28.46,10,False,3,10b
28.9,11,True,1,11b
29.22,11,False,2,11b
29.54,11,False,3,11b
29.96,12,True,1,12b
30.24,12,False,2,12b
30.615238095238098,12,False,3,12b
31.14,13,True,1,13b
31.3,13,False,2,13b
31.68,13,False,3,13b
32.02,14,True,1,14b
32.42,14,False,2,14b
32.74,14,False,3,14b
33.1,15,True,1,15b
33.22,15,False,2,15b
33.72,15,False,3,15b
34.08,16,True,1,16b
34.42,16,False,2,16b
34.78,16,False,3,16b
35.08,17,True,1,17b
35.5,17,False,2,17b
35.78,17,False,3,17b
36.26,18,True,1,18b
36.467999999999996,18,False,2,18b
36.675999999999995,18,False,3,18b
36.884,19,True,1,19a
37.092,19,False,2,19a
37.3,19,False,3,19a
38.34,20,True,1,20a
38.54963855421687,20,False,2,20a
38.7,20,False,3,20a
39.009166666666665,21,True,1,21a
39.5,21,False,2,21a
39.94,21,False,3,21a
40.2,22,True,1,22a
40.510606060606065,22,False,2,22a
40.9,22,False,3,22a
41.48,23,True,1,23a
41.72,23,False,2,23a
42.07941176470588,23,False,3,23a
42.6,24,True,1,24a
43.265151515151516,24,False,2,24a
43.3,24,False,3,24a
43.76,25,True,1,25a
43.99238095238095,25,False,2,25a
44.52,25,False,3,25a
45.02,26,True,1,26a
45.34,26,False,2,26a
45.64,26,False,3,26a
46.1,27,True,1,27a
46.3395,27,False,2,27a
46.584625,27,False,3,27a
46.829750000000004,19,True,1,19b
47.074875,19,False,2,19b
47.32,19,False,3,19b
47.98,20,True,1,20b
47.995384615384616,20,False,2,20b
48.7,20,False,3,20b
49.00869565217391,21,True,1,21b
49.5,21,False,2,21b
49.94,21,False,3,21b
50.22,22,True,1,22b
50.57047619047619,22,False,2,22b
50.98,22,False,3,22b
51.58,23,True,1,23b
51.82,23,False,2,23b
52.279310344827586,23,False,3,23b
52.7,24,True,1,24b
53.29105263157894,24,False,2,24b
53.34,24,False,3,24b
53.82,25,True,1,25b
53.977199999999996,25,False,2,25b
54.56,25,False,3,25b
55.04,26,True,1,26b
55.36,26,False,2,26b
55.68,26,False,3,26b
56.16,27,True,1,27b
56.38,27,False,2,27b
56.615,27,False,3,27b
56.85,28,True,1,28a
57.085,28,False,2,28a
57.32,28,False,3,28a
58.06,29,True,1,29a
58.5,29,False,2,29a
58.74,29,False,3,29a
59.44,30,True,1,30a
59.58,30,False,2,30a
60.08735294117647,30,False,3,30a
60.24,31,True,1,31a
60.68,31,False,2,31a
61.02,31,False,3,31a
61.62566666666667,32,True,1,32a
61.78,32,False,2,32a
