time,measure,is_first_in_measure,beat,mn_playthrough
0.58,0,False,3,0a
1.04,1,True,1,1a
1.54,1,False,2,1a
2.10862745098039,1,False,3,1a
2.54,2,True,1,2a
3.04,2,False,2,2a
3.54,2,False,3,2a
4.04,3,True,1,3a
4.54,3,False,2,3a
5.30470588235294,3,False,3,3a
5.54,4,True,1,4a
6.04,4,False,2,4a
6.6,4,False,3,4a
7.02,5,True,1,5a
7.52,5,False,2,5a
8.15027027027027,5,False,3,5a
8.54,6,True,1,6a
9.04,6,False,2,6a
9.56,6,False,3,6a
10.04,7,True,1,7a
10.56,7,False,2,7a
11.04,7,False,3,7a
11.5301960784314,8,True,1,8a
12.04,8,False,2,8a
12.58,8,False,3,8a
13.04,1,True,1,1b
13.54,1,False,2,1b
14.1086274509804,1,False,3,1b
14.54,2,True,1,2b
15.04,2,False,2,2b
15.54,2,False,3,2b
16.04,3,True,1,3b
16.54,3,False,2,3b
16.7556862745098,3,False,3,3b
17.54,4,True,1,4b
18.04,4,False,2,4b
18.6,4,False,3,4b
19.04,5,True,1,5b
19.52,5,False,2,5b
20.1505555555556,5,False,3,5b
20.54,6,True,1,6b
21.04,6,False,2,6b
21.56,6,False,3,6b
22.04,7,True,1,7b
22.54,7,False,2,7b
23.02,7,False,3,7b
24.02,8,True,1,8b
24.2722580645161,8,False,2,8b
24.54,8,False,3,8b
25.04,9,True,1,9a
25.56,9,False,2,9a
26.04,9,False,3,9a
26.54,10,True,1,10a
27.2284210526316,10,False,2,10a
27.54,10,False,3,10a
28.08,11,True,1,11a
28.54,11,False,2,11a
29.04,11,False,3,11a
29.54,12,True,1,12a
30.08,12,False,2,12a
30.54,12,False,3,12a
31.04,13,True,1,13a
31.54,13,False,2,13a
32.04,13,False,3,13a
32.56,14,True,1,14a
33.08,14,False,2,14a
33.56,14,False,3,14a
34.06,15,True,1,15a
34.52,15,False,2,15a
35.04,15,False,3,15a
35.53,16,True,1,16a
36.02,16,False,2,16a
36.54,16,False,3,16a
37.04,9,True,1,9b
37.56,9,False,2,9b
38.04,9,False,3,9b
38.54,10,True,1,10b
38.8584210526316,10,False,2,10b
39.54,10,False,3,10b
40.08,11,True,1,11b
40.54,11,False,2,11b
41.04,11,False,3,11b
41.54,12,True,1,12b
42.08,12,False,2,12b
42.54,12,False,3,12b
43.04,13,True,1,13b
43.52,13,False,2,13b
44.04,13,False,3,13b
44.56,14,True,1,14b
45.06,14,False,2,14b
45.56,14,False,3,14b
46.06,15,True,1,15b
46.52,15,False,2,15b
47.04,15,False,3,15b
47.53,16,True,1,16b
48.02,16,False,2,16b
48.56,16,False,3,16b
49.1283018867925,17,True,1,17a
49.52,17,False,2,17a
49.9295,17,False,3,17a
50.52,18,True,1,18a
51.08,18,False,2,18a
51.56,18,False,3,18a
52.0504,19,True,1,19a
52.58,19,False,2,19a
53.06,19,False,3,19a
53.54,20,True,1,20a
54.04,20,False,2,20a
54.58,20,False,3,20a
55.4230188679245,21,True,1,21a
55.54,21,False,2,21a
56.08,21,False,3,21a
56.8837037037037,22,True,1,22a
57.02,22,False,2,22a
57.58,22,False,3,22a
58.04,23,True,1,23a
58.46,23,False,2,23a
59.04,23,False,3,23a
59.54,24,True,1,24a
60.02,24,False,2,24a
60.54,24,False,3,24a
61.1282352941176,17,True,1,17b
61.54,17,False,2,17b
61.91,17,False,3,17b
62.52,18,True,1,18b
63.08,18,False,2,18b
63.56,18,False,3,18b
64.0504,19,True,1,19b
64.58,19,False,2,19b
65.06,19,False,3,19b
65.54,20,True,1,20b
66.02,20,False,2,20b
66.58,20,False,3,20b
67.3249056603774,21,True,1,21b
67.54,21,False,2,21b
68.08,21,False,3,21b
68.8640740740741,22,True,1,22b
69.02,22,False,2,22b
69.58,22,False,3,22b
70.04,23,True,1,23b
70.46,23,False,2,23b
71.04,23,False,3,23b
71.56,24,True,1,24b
72.02,24,False,2,24b
72.54,24,False,3,24b
73.02,25,True,1,25a
73.54,25,False,2,25a
74.0275,25,False,3,25a
74.54,26,True,1,26a
75.3048,26,False,2,26a
75.56,26,False,3,26a
76.14,27,True,1,27a
76.56,27,False,2,27a
77.3,27,False,3,27a
77.56,28,True,1,28a
78.04,28,False,2,28a
78.56,28,False,3,28a
79.305,29,True,1,29a
79.54,29,False,2,29a
80.08,29,False,3,29a
80.2942857142857,30,True,1,30a
80.98,30,False,2,30a
81.56,30,False,3,30a
82.04,31,True,1,31a
82.44,31,False,2,31a
82.94,31,False,3,31a
83.22,32,True,1,32a
84.04,32,False,2,32a
84.54,32,False,3,32a
85.02,25,True,1,25b
85.54,25,False,2,25b
86.0271794871795,25,False,3,25b
86.54,26,True,1,26b
87.0696,26,False,2,26b
87.56,26,False,3,26b
88.12,27,True,1,27b
88.56,27,False,2,27b
89.3,27,False,3,27b
89.56,28,True,1,28b
90.04,28,False,2,28b
90.56,28,False,3,28b
91.2853846153846,29,True,1,29b
91.54,29,False,2,29b
92.06,29,False,3,29b
92.4316363636364,30,True,1,30b
92.98,30,False,2,30b
93.56,30,False,3,30b
94.04,31,True,1,31b
94.42,31,False,2,31b
94.98,31,False,3,31b
95.28,32,True,1,32b
96.04,32,False,2,32b
96.58,32,False,3,32b
97.04,1,True,1,1c
97.54,1,False,2,1c
98.1086274509804,1,False,3,1c
98.54,2,True,1,2c
99.04,2,False,2,2c
99.54,2,False,3,2c
100.04,3,True,1,3c
100.54,3,False,2,3c
101.32431372549,3,False,3,3c
101.54,4,True,1,4c
102.06,4,False,2,4c
102.6,4,False,3,4c
103.04,5,True,1,5c
103.52,5,False,2,5c
104.15027027027,5,False,3,5c
104.54,6,True,1,6c
105.04,6,False,2,6c
105.56,6,False,3,6c
106.04,7,True,1,7c
106.56,7,False,2,7c
107.04,7,False,3,7c
108.04,8,True,1,8d
108.272380952381,8,False,2,8d
108.54,8,False,3,8d
109.04,9,True,1,9c
109.56,9,False,2,9c
110.04,9,False,3,9c
110.54,10,True,1,10c
110.936315789474,10,False,2,10c
111.54,10,False,3,10c
112.08,11,True,1,11c
112.54,11,False,2,11c
113.04,11,False,3,11c
113.54,12,True,1,12c
114.08,12,False,2,12c
114.54,12,False,3,12c
115.04,13,True,1,13c
115.52,13,False,2,13c
116.04,13,False,3,13c
116.56,14,True,1,14c
117.08,14,False,2,14c
125.1,14,False,3,14c
130.56,15,True,1,15c
143.86,15,False,2,15c
145.1,15,False,3,15c
145.1,16,True,1,16d
145.1,16,False,2,16d
