mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0		0	0	Dynamic	4/4	1	1	0					p								
1	1	0	0	0.0		0	0	Tempo	4/4	1	1	0								Andante	96.0			1.0	
1	1	0	0	0.0		0	0	Tempo	4/4	1	1	0								𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
1	1	4/3	4/3	0.3333333333333333		1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	0									0
1	1	5/3	5/3	0.3333333333333333		5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	1									0
1	1	2	2	0.3333333333333333		1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	2									0
1	1	7/3	7/3	0.3333333333333333		7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	3									0
1	1	8/3	8/3	0.3333333333333333		2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	4									0
1	1	3	3	0.3333333333333333		3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	5									0
1	1	10/3	10/3	0.3333333333333333		5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	6									0
1	1	11/3	11/3	0.3333333333333333		11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	7									
1	1	0	0	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	8									
1	1	1/3	1/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	9									
1	1	2/3	2/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	10									
1	1	1	1	3.0		1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	11									
1	1	0	0	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	12									
1	1	1	1	3.0		1/4	1/4	Chord	4/4	2	2	3/4		1/2	3/2	13									
2	2	16/3	16/3	0.3333333333333333		1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	14									1
2	2	17/3	17/3	0.3333333333333333		5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	15									1
2	2	6	6	0.3333333333333333		1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	16									1
2	2	19/3	19/3	0.3333333333333333		7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	17									1
2	2	20/3	20/3	0.3333333333333333		2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	18									1
2	2	7	7	0.3333333333333333		3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	19									1
2	2	22/3	22/3	0.3333333333333333		5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	20									1
2	2	23/3	23/3	0.3333333333333333		11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	21									
2	2	4	4	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	22									
2	2	13/3	13/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	23									
2	2	14/3	14/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	24									
2	2	5	5	3.0		1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	25									
2	2	4	4	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	26									
2	2	5	5	3.0		1/4	1/4	Chord	4/4	2	2	3/4		1/2	3/2	27									
3	3	28/3	28/3	0.3333333333333333		1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	28									2
3	3	29/3	29/3	0.3333333333333333		5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	29									2
3	3	10	10	0.3333333333333333		1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	30									2
3	3	31/3	31/3	0.3333333333333333		7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	31									2
3	3	32/3	32/3	0.3333333333333333		2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	32									2
3	3	11	11	0.3333333333333333		3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	33									2
3	3	34/3	34/3	0.3333333333333333		5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	34									2
3	3	35/3	35/3	0.3333333333333333		11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	35									
3	3	8	8	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	36									
3	3	25/3	25/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	37									
3	3	26/3	26/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	38									
3	3	9	9	3.0		1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	39									
3	3	8	8	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	40									
3	3	9	9	3.0		1/4	1/4	Chord	4/4	2	2	3/4		1/2	3/2	41									
4	4	40/3	40/3	0.3333333333333333		1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	42									3
4	4	41/3	41/3	0.3333333333333333		5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	43									3
4	4	14	14	0.3333333333333333		1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	44									3
4	4	43/3	43/3	0.3333333333333333		7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	45									3
4	4	44/3	44/3	0.3333333333333333		2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	46									3
4	4	15	15	0.3333333333333333		3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	47									3
4	4	46/3	46/3	0.3333333333333333		5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	48									3
4	4	47/3	47/3	0.3333333333333333		11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	49									
4	4	12	12	0.3333333333333333		0	0	Chord	4/4	2	1	1/12		1/8	2/3	50									
4	4	37/3	37/3	0.3333333333333333		1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	51									
4	4	38/3	38/3	0.3333333333333333		1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	52									
4	4	13	13	3.0		1/4	1/4	Chord	4/4	2	1	3/4		1/2	3/2	53									
4	4	12	12	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	54									
