mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	8.0	0	0	4/4	2	1		d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
3	3	8	8	8.0	0	0	4/4	2	1		ii%2	d	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
5	5	16	16	8.0	0	0	4/4	2	1		V2/iv	d	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
7	7	24	24	2.0	0	0	4/4	2	2		iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
7	7	26	26	2.0	1/2	1/2	4/4	2	2		III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
8	8	28	28	2.0	0	0	4/4	2	2		bII6	d	i		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
8	8	30	30	2.0	1/2	1/2	4/4	2	2		viio7/V	d	i		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
9	9	32	32	12.0	0	0	4/4	2	2		V|HC}	d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
12	12	44	44	4.0	0	0	4/4	2	2		i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
13	13	48	48	4.0	0	0	4/4	2	2		V43	d	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
14	14	52	52	4.0	0	0	4/4	2	2		V65	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
15	15	56	56	4.0	0	0	4/4	2	2		i}	d	i		i	i						}	m	1	1	0, -3, 1		0	0
16	16	60	60	2.0	0	0	4/4	2	2		i6{	d	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
16	16	62	62	2.0	1/2	1/2	4/4	2	2		#viio65	d	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
17	17	64	64	2.0	0	0	4/4	2	2		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
17	17	66	66	1.75	1/2	1/2	4/4	2	2		#viio43	d	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
17	17	271/4	271/4	0.25	15/16	15/16	4/4	2	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
18	18	68	68	1.0	0	0	4/4	2	1		V7/V	d	i		V7/V	V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
18	18	69	69	1.0	1/4	1/4	4/4	2	1		V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
18	18	70	70	1.0	1/2	1/2	4/4	2	1		V/iv	d	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
18	18	71	71	1.0	3/4	3/4	4/4	2	1		viio7/V	d	i		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
19	19	72	72	291.25	0	0	4/4	2	1		V|HC}	d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
