mc	mn	mc_playthrough	mn_playthrough	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	1	1a	0	4.0	-1	4/4	1	0						firstMeasure	2
2	2	2	2a	4	4.0	-1	4/4	1	0							3
3	3	3	3a	8	4.0	-1	4/4	1	0							4
4	4	4	4a	12	4.0	-1	4/4	1	0							5
5	5	5	5a	16	4.0	-1	4/4	1	0							6
6	6	6	6a	20	4.0	-1	4/4	1	0							7
7	7	7	7a	24	4.0	-1	4/4	1	0							8
8	8	8	8a	28	4.0	-1	4/4	1	0							9
9	9	9	9a	32	4.0	-1	4/4	1	0							10
10	10	10	10a	36	4.0	-1	4/4	1	0							11
11	11	11	11a	40	4.0	-1	4/4	1	0				double			12
12	12	12	12a	44	4.0	-1	4/4	1	0							13
13	13	13	13a	48	4.0	-1	4/4	1	0							14
14	14	14	14a	52	4.0	-1	4/4	1	0							15
15	15	15	15a	56	4.0	-1	4/4	1	0							16
16	16	16	16a	60	4.0	-1	4/4	1	0							17
17	17	17	17a	64	4.0	-1	4/4	1	0							18
18	18	18	18a	68	4.0	-1	4/4	1	0							19
19	19	19	19a	72	4.0	-1	4/4	1	0							20
20	20	20	20a	76	4.0	-1	4/4	1	0							21
21	21	21	21a	80	4.0	-1	4/4	1	0							22
22	22	22	22a	84	4.0	-1	4/4	1	0							23
23	23	23	23a	88	4.0	-1	4/4	1	0							24
24	24	24	24a	92	4.0	-1	4/4	1	0							25
25	25	25	25a	96	4.0	-1	4/4	1	0							26
26	26	26	26a	100	4.0	-1	4/4	1	0							27
27	27	27	27a	104	4.0	-1	4/4	1	0							28
28	28	28	28a	108	4.0	-1	4/4	1	0							29
29	29	29	29a	112	4.0	-1	4/4	1	0							30
30	30	30	30a	116	4.0	-1	4/4	1	0							31
31	31	31	31a	120	4.0	-1	4/4	1	0							32
32	32	32	32a	124	4.0	-1	4/4	1	0							33
33	33	33	33a	128	4.0	-1	4/4	1	0					line		34
34	34	34	34a	132	9.0	-1	4/4	9/4	0							35
35	34	35	34a	141	5.25	-1	4/4	21/16	0			1				36
36	35	36	35a	585/4	4.0	-1	4/4	1	0							37
37	36	37	36a	601/4	4.0	-1	4/4	1	0							38
38	37	38	37a	617/4	4.0	-1	4/4	1	0							39
39	38	39	38a	633/4	4.0	-1	4/4	1	0							40
40	39	40	39a	649/4	4.0	-1	4/4	1	0							41
41	40	41	40a	665/4	4.0	-1	4/4	1	0							42
42	41	42	41a	681/4	4.0	-1	4/4	1	0							43
43	42	43	42a	697/4	4.0	-1	4/4	1	0							44
44	43	44	43a	713/4	4.0	-1	4/4	1	0					line		45
45	44	45	44a	729/4	4.0	-1	4/4	1	0							46
46	44	46	44a	745/4	4.0	-1	4/4	1	0			1				47
47	44	47	44a	761/4	4.0	-1	4/4	1	0			1				48
48	44	48	44a	777/4	4.0	-1	4/4	1	0			1				49
49	44	49	44a	793/4	6.375	-1	4/4	51/32	0			1				50
50	45	50	45a	1637/8	4.0	-1	4/4	1	0							51
