mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	1	0	1.0	1	3/4	1/4	1/2					firstMeasure					2
2	2	1	3.0	1	3/4	3/4	0										3
3	3	4	3.0	1	3/4	3/4	0										4
4	4	7	3.0	1	3/4	3/4	0										5
5	5	10	3.0	1	3/4	3/4	0										6
6	6	13	3.0	1	3/4	3/4	0										7
7	7	16	3.0	1	3/4	3/4	0										8
8	8	19	3.0	1	3/4	3/4	0										9
9	9	22	2.0	1	3/4	1/2	0					end					1, 10
10	10	24	1.0	1	3/4	1/4	1/2					start					11
11	11	25	3.0	1	3/4	3/4	0										12
12	12	28	3.0	1	3/4	3/4	0										13
13	13	31	3.0	1	3/4	3/4	0										14
14	14	34	3.0	1	3/4	3/4	0										15
15	15	37	3.0	1	3/4	3/4	0										16
16	16	40	3.0	1	3/4	3/4	0										17
17	17	43	3.0	1	3/4	3/4	0										18
18	18	46	2.0	1	3/4	1/2	0					end	fine				10, 19, -1
19	19	48	1.0	0	3/4	1/4	1/2					start					20
20	20	49	3.0	0	3/4	3/4	0										21
21	21	52	3.0	0	3/4	3/4	0										22
22	22	55	3.0	0	3/4	3/4	0										23
23	23	58	3.0	0	3/4	3/4	0										24
24	24	61	3.0	0	3/4	3/4	0										25
25	25	64	3.0	0	3/4	3/4	0										26
26	26	67	3.0	0	3/4	3/4	0										27
27	27	70	2.0	0	3/4	1/2	0					end					19, 28
28	28	72	1.0	0	3/4	1/4	1/2					start					29
29	29	73	3.0	0	3/4	3/4	0										30
30	30	76	3.0	0	3/4	3/4	0										31
31	31	79	3.0	0	3/4	3/4	0										32
32	32	82	3.0	0	3/4	3/4	0										33
33	33	85	3.0	0	3/4	3/4	0										34
34	34	88	3.0	0	3/4	3/4	0										35
35	35	91	3.0	0	3/4	3/4	0										36
36	36	94	2.0	0	3/4	1/2	0					end		start		end	28, 1
