mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1a	0	0	0.3333333333333333		0	0	4/4	2	1	1/12		1/8	2/3		2	38	D2	2	8
1	1	1	1a	0	0	1.0		0	0	4/4	2	2	1/4		1/4	1		2	38	D2	2	12
1	1	1	1a	1/3	1/3	0.3333333333333333		1/12	1/12	4/4	2	1	1/12		1/8	2/3		-1	41	F2	2	9
1	1	1	1a	2/3	2/3	0.3333333333333333		1/6	1/6	4/4	2	1	1/12		1/8	2/3		3	45	A2	2	10
1	1	1	1a	1	1	3.0		1/4	1/4	4/4	2	2	3/4		1/2	3/2		2	38	D2	2	13
1	1	1	1a	1	1	3.0		1/4	1/4	4/4	2	1	3/4		1/2	3/2		2	50	D3	3	11
1	1	1	1a	4/3	4/3	0.3333333333333333		1/3	1/3	4/4	1	1	1/12		1/8	2/3		-1	53	F3	3	0
1	1	1	1a	5/3	5/3	0.3333333333333333		5/12	5/12	4/4	1	1	1/12		1/8	2/3		3	57	A3	3	1
1	1	1	1a	2	2	0.3333333333333333		1/2	1/2	4/4	1	1	1/12		1/8	2/3		2	62	D4	4	2
1	1	1	1a	7/3	7/3	0.3333333333333333		7/12	7/12	4/4	1	1	1/12		1/8	2/3		3	57	A3	3	3
1	1	1	1a	8/3	8/3	0.3333333333333333		2/3	2/3	4/4	1	1	1/12		1/8	2/3		-1	65	F4	4	4
1	1	1	1a	3	3	0.3333333333333333		3/4	3/4	4/4	1	1	1/12		1/8	2/3		2	62	D4	4	5
1	1	1	1a	10/3	10/3	0.3333333333333333		5/6	5/6	4/4	1	1	1/12		1/8	2/3		3	57	A3	3	6
1	1	1	1a	11/3	11/3	0.3333333333333333		11/12	11/12	4/4	1	1	1/12		1/8	2/3		-1	53	F3	3	7
2	2	2	2a	4	4	0.3333333333333333		0	0	4/4	2	1	1/12		1/8	2/3		2	38	D2	2	22
2	2	2	2a	4	4	1.0		0	0	4/4	2	2	1/4		1/4	1		2	38	D2	2	26
2	2	2	2a	13/3	13/3	0.3333333333333333		1/12	1/12	4/4	2	1	1/12		1/8	2/3		-1	41	F2	2	23
2	2	2	2a	14/3	14/3	0.3333333333333333		1/6	1/6	4/4	2	1	1/12		1/8	2/3		3	45	A2	2	24
2	2	2	2a	5	5	3.0		1/4	1/4	4/4	2	2	3/4		1/2	3/2		2	38	D2	2	27
2	2	2	2a	5	5	3.0		1/4	1/4	4/4	2	1	3/4		1/2	3/2		2	50	D3	3	25
2	2	2	2a	16/3	16/3	0.3333333333333333		1/3	1/3	4/4	1	1	1/12		1/8	2/3		-1	53	F3	3	14
2	2	2	2a	17/3	17/3	0.3333333333333333		5/12	5/12	4/4	1	1	1/12		1/8	2/3		3	57	A3	3	15
2	2	2	2a	6	6	0.3333333333333333		1/2	1/2	4/4	1	1	1/12		1/8	2/3		2	62	D4	4	16
2	2	2	2a	19/3	19/3	0.3333333333333333		7/12	7/12	4/4	1	1	1/12		1/8	2/3		3	57	A3	3	17
2	2	2	2a	20/3	20/3	0.3333333333333333		2/3	2/3	4/4	1	1	1/12		1/8	2/3		-1	65	F4	4	18
2	2	2	2a	7	7	0.3333333333333333		3/4	3/4	4/4	1	1	1/12		1/8	2/3		2	62	D4	4	19
2	2	2	2a	22/3	22/3	0.3333333333333333		5/6	5/6	4/4	1	1	1/12		1/8	2/3		3	57	A3	3	20
2	2	2	2a	23/3	23/3	0.3333333333333333		11/12	11/12	4/4	1	1	1/12		1/8	2/3		-1	53	F3	3	21
3	3	3	3a	8	8	0.3333333333333333		0	0	4/4	2	1	1/12		1/8	2/3		2	38	D2	2	36
3	3	3	3a	8	8	1.0		0	0	4/4	2	2	1/4		1/4	1		2	38	D2	2	40
3	3	3	3a	25/3	25/3	0.3333333333333333		1/12	1/12	4/4	2	1	1/12		1/8	2/3		1	43	G2	2	37
3	3	3	3a	26/3	26/3	0.3333333333333333		1/6	1/6	4/4	2	1	1/12		1/8	2/3		-2	46	Bb2	2	38
3	3	3	3a	9	9	3.0		1/4	1/4	4/4	2	2	3/4		1/2	3/2		2	38	D2	2	41
3	3	3	3a	9	9	3.0		1/4	1/4	4/4	2	1	3/4		1/2	3/2		2	50	D3	3	39
3	3	3	3a	28/3	28/3	0.3333333333333333		1/3	1/3	4/4	1	1	1/12		1/8	2/3		1	55	G3	3	28
3	3	3	3a	29/3	29/3	0.3333333333333333		5/12	5/12	4/4	1	1	1/12		1/8	2/3		-2	58	Bb3	3	29
3	3	3	3a	10	10	0.3333333333333333		1/2	1/2	4/4	1	1	1/12		1/8	2/3		4	64	E4	4	30
3	3	3	3a	31/3	31/3	0.3333333333333333		7/12	7/12	4/4	1	1	1/12		1/8	2/3		-2	58	Bb3	3	31
3	3	3	3a	32/3	32/3	0.3333333333333333		2/3	2/3	4/4	1	1	1/12		1/8	2/3		1	67	G4	4	32
3	3	3	3a	11	11	0.3333333333333333		3/4	3/4	4/4	1	1	1/12		1/8	2/3		4	64	E4	4	33
3	3	3	3a	34/3	34/3	0.3333333333333333		5/6	5/6	4/4	1	1	1/12		1/8	2/3		-2	58	Bb3	3	34
3	3	3	3a	35/3	35/3	0.3333333333333333		11/12	11/12	4/4	1	1	1/12		1/8	2/3		1	55	G3	3	35
4	4	4	4a	12	12	0.3333333333333333		0	0	4/4	2	1	1/12		1/8	2/3		2	38	D2	2	50
4	4	4	4a	12	12	1.0		0	0	4/4	2	2	1/4		1/4	1		2	38	D2	2	54
4	4	4	4a	37/3	37/3	0.3333333333333333		1/12	1/12	4/4	2	1	1/12		1/8	2/3		1	43	G2	2	51
4	4	4	4a	38/3	38/3	0.3333333333333333		1/6	1/6	4/4	2	1	1/12		1/8	2/3		-2	46	Bb2	2	52
4	4	4	4a	13	13	3.0		1/4	1/4	4/4	2	2	3/4		1/2	3/2		2	38	D2	2	55
4	4	4	4a	13	13	3.0		1/4	1/4	4/4	2	1	3/4		1/2	3/2		2	50	D3	3	53
4	4	4	4a	40/3	40/3	0.3333333333333333		1/3	1/3	4/4	1	1	1/12		1/8	2/3		1	55	G3	3	42
4	4	4	4a	41/3	41/3	0.3333333333333333		5/12	5/12	4/4	1	1	1/12		1/8	2/3		-2	58	Bb3	3	43
