mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5	0	1/2	3/4	1	1	1/8	1/8	1		5	83	B5	5	0
1	1	1/2	1/2	0.5	1/8	5/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	1
2	2	1	1	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	5
2	2	1	1	1.0	0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	2
2	2	2	2	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	6
2	2	2	2	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	3
2	2	3	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	7
2	2	3	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	4
3	3	4	4	1.0	0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	12
3	3	4	4	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	8
3	3	5	5	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	13
3	3	5	5	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	9
3	3	6	6	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		3	81	A5	5	10
3	3	13/2	13/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	11
4	4	7	7	1.0	0	0	3/4	2	1	1/4	1/4	1		6	54	F#3	3	17
4	4	7	7	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	14
4	4	8	8	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	18
4	4	8	8	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	15
4	4	9	9	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	19
4	4	9	9	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72	C5	5	16
5	5	10	10	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	24
