mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	1	0a	0	0	0.5	0	1/2	3/4	1	1	1/8	1/8	1		5	83	B5	5	0
1	0	1	0a	1/2	1/2	0.5	1/8	5/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	1
2	1	2	1a	1	1	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	5
2	1	2	1a	1	1	1.0	0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	2
2	1	2	1a	2	2	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	6
2	1	2	1a	2	2	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	3
2	1	2	1a	3	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	7
2	1	2	1a	3	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	4
3	2	3	2a	4	4	1.0	0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	12
3	2	3	2a	4	4	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	8
3	2	3	2a	5	5	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	13
3	2	3	2a	5	5	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	9
3	2	3	2a	6	6	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		3	81	A5	5	10
3	2	3	2a	13/2	13/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	11
4	3	4	3a	7	7	1.0	0	0	3/4	2	1	1/4	1/4	1		6	54	F#3	3	17
4	3	4	3a	7	7	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	14
4	3	4	3a	8	8	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	18
4	3	4	3a	8	8	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	15
4	3	4	3a	9	9	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	19
4	3	4	3a	9	9	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72	C5	5	16
5	4	5	4a	10	10	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	24
5	4	5	4a	10	10	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	20
5	4	5	4a	11	11	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	25
5	4	5	4a	11	11	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	21
5	4	5	4a	12	12	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		5	83	B5	5	22
5	4	5	4a	25/2	25/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	23
6	5	6	5a	13	13	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	30
6	5	6	5a	13	13	1.0	0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	26
6	5	6	5a	14	14	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		1	79	G5	5	27
6	5	6	5a	29/2	29/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	28
6	5	6	5a	15	15	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	52	E3	3	31
6	5	6	5a	15	15	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	29
7	6	7	6a	16	16	1.0	0	0	3/4	2	1	1/4	1/4	1		7	49	C#3	3	37
7	6	7	6a	16	16	0.5	0	0	3/4	1	1	1/8	1/8	1		4	76	E5	5	32
7	6	7	6a	33/2	33/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		7	73	C#5	5	33
7	6	7	6a	17	17	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	45	A2	2	38
7	6	7	6a	17	17	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		3	69	A4	4	34
7	6	7	6a	35/2	35/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	35
7	6	7	6a	18	18	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	50	D3	3	39
7	6	7	6a	18	18	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		6	66	F#4	4	36
8	7	8	7a	19	19	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	45
8	7	8	7a	19	19	0.3333333333333333	0	0	3/4	1	1	1/12	1/8	2/3		5	71	B4	4	40
8	7	8	7a	58/3	58/3	0.3333333333333333	1/12	1/12	3/4	1	1	1/12	1/8	2/3		3	69	A4	4	41
8	7	8	7a	59/3	59/3	0.3333333333333333	1/6	1/6	3/4	1	1	1/12	1/8	2/3		1	67	G4	4	42
8	7	8	7a	20	20	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	46
8	7	8	7a	20	20	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		6	66	F#4	4	43
8	7	8	7a	21	21	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	45	A2	2	47
8	7	8	7a	21	21	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		4	64	E4	4	44
9	8	9	8a	22	22	1.0	0	0	3/4	2	1	1/4	1/4	1		2	50	D3	3	49
9	8	9	8a	22	22	2.0	0	0	3/4	1	1	1/2	1/2	1		2	62	D4	4	48
9	8	9	8a	23	23	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	38	D2	2	50
1	0	10	8a	24	0	0.5	0	1/2	3/4	1	1	1/8	1/8	1		5	83	B5	5	0
1	0	10	8a	49/2	1/2	0.5	1/8	5/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	1
2	1	11	1b	25	1	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	5
2	1	11	1b	25	1	1.0	0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	2
2	1	11	1b	26	2	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	6
2	1	11	1b	26	2	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	3
2	1	11	1b	27	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	7
2	1	11	1b	27	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	4
3	2	12	2b	28	4	1.0	0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	12
3	2	12	2b	28	4	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	8
3	2	12	2b	29	5	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	13
3	2	12	2b	29	5	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	9
3	2	12	2b	30	6	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		3	81	A5	5	10
3	2	12	2b	61/2	13/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	11
4	3	13	3b	31	7	1.0	0	0	3/4	2	1	1/4	1/4	1		6	54	F#3	3	17
4	3	13	3b	31	7	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	14
4	3	13	3b	32	8	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	18
4	3	13	3b	32	8	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	15
4	3	13	3b	33	9	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	19
4	3	13	3b	33	9	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72	C5	5	16
5	4	14	4b	34	10	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	24
5	4	14	4b	34	10	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	20
5	4	14	4b	35	11	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	25
5	4	14	4b	35	11	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	21
5	4	14	4b	36	12	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		5	83	B5	5	22
5	4	14	4b	73/2	25/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	23
6	5	15	5b	37	13	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	30
6	5	15	5b	37	13	1.0	0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	26
6	5	15	5b	38	14	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		1	79	G5	5	27
6	5	15	5b	77/2	29/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	28
6	5	15	5b	39	15	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	52	E3	3	31
6	5	15	5b	39	15	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	29
7	6	16	6b	40	16	1.0	0	0	3/4	2	1	1/4	1/4	1		7	49	C#3	3	37
7	6	16	6b	40	16	0.5	0	0	3/4	1	1	1/8	1/8	1		4	76	E5	5	32
7	6	16	6b	81/2	33/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		7	73	C#5	5	33
7	6	16	6b	41	17	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	45	A2	2	38
7	6	16	6b	41	17	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		3	69	A4	4	34
7	6	16	6b	83/2	35/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	35
7	6	16	6b	42	18	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	50	D3	3	39
7	6	16	6b	42	18	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		6	66	F#4	4	36
8	7	17	7b	43	19	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	45
8	7	17	7b	43	19	0.3333333333333333	0	0	3/4	1	1	1/12	1/8	2/3		5	71	B4	4	40
8	7	17	7b	130/3	58/3	0.3333333333333333	1/12	1/12	3/4	1	1	1/12	1/8	2/3		3	69	A4	4	41
8	7	17	7b	131/3	59/3	0.3333333333333333	1/6	1/6	3/4	1	1	1/12	1/8	2/3		1	67	G4	4	42
8	7	17	7b	44	20	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	46
8	7	17	7b	44	20	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		6	66	F#4	4	43
8	7	17	7b	45	21	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	45	A2	2	47
8	7	17	7b	45	21	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		4	64	E4	4	44
9	8	18	8b	46	22	1.0	0	0	3/4	2	1	1/4	1/4	1		2	50	D3	3	49
9	8	18	8b	46	22	2.0	0	0	3/4	1	1	1/2	1/2	1		2	62	D4	4	48
9	8	18	8b	47	23	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	38	D2	2	50
10	8	19	8b	48	24	0.5	0	1/2	3/4	1	1	1/8	1/8	1		2	74	D5	5	51
10	8	19	8b	97/2	49/2	0.5	1/8	5/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	52
11	9	20	9a	49	25	1.0	0	0	3/4	2	1	1/4	1/4	1		4	52	E3	3	56
11	9	20	9a	49	25	1.0	0	0	3/4	1	1	1/4	1/4	1		8	68	G#4	4	53
11	9	20	9a	50	26	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	57
11	9	20	9a	50	26	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	77	F5	5	54
11	9	20	9a	51	27	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	58
11	9	20	9a	51	27	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76	E5	5	55
12	10	21	10a	52	28	1.0	0	0	3/4	2	1	1/4	1/4	1		5	59	B3	3	63
12	10	21	10a	52	28	1.0	0	0	3/4	1	1	1/4	1/4	1		2	74	D5	5	59
12	10	21	10a	53	29	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	64
12	10	21	10a	53	29	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		0	72	C5	5	60
12	10	21	10a	54	30	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		3	57	A3	3	65
12	10	21	10a	54	30	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		0	72	C5	5	61
12	10	21	10a	109/2	61/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		6	54	F#3	3	66
12	10	21	10a	109/2	61/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		3	69	A4	4	62
13	11	22	11a	55	31	1.0	0	0	3/4	2	1	1/4	1/4	1		2	50	D3	3	70
13	11	22	11a	55	31	1.0	0	0	3/4	1	1	1/4	1/4	1		6	66	F#4	4	67
13	11	22	11a	56	32	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	71
